cds,rtype,schoolname,districtname,countyname,charter_flag,coe_flag,dass_flag,studentgroup,currprogressed,currmaintainPL4,currmaintainOth,currdeclined,currprogressed_Alternate,currmaintainPL3_Alternate,currnotprognotmain_Alternate,curr95,currnumer,currdenom,currstatus,priorprogressed,priormaintainPL4,priormaintainOth,priordeclined,priorprogressed_Alternate,priormaintainPL3_Alternate,priornotprognotmain_Alternate,prior95,priornumer,priordenom,priorstatus,change,statuslevel,changelevel,color,ImageURL,box,currnsizemet,priornsizemet,accountabilitymet,indicator,reportingyear
1100170125567,S,Urban Montessori Charter,Alameda County Office of Education,Alameda,Y,,,Long-Term English Learner,,,,,,,,0,,9,,8,1,1,1,0,0,0,0,9,11,81.8,,0,0,0,https://i.imgur.com/hWgtiPF.png,0,N,N,,ELPI,2024
1100170130401,S,Alameda County Juvenile Hall/Court,Alameda County Office of Education,Alameda,,,Y,English Learner,,,,,,,,0,,5,,,,,,,,,0,,4,,,0,0,0,https://i.imgur.com/hWgtiPF.png,0,N,N,,ELPI,2024
1100170130401,S,Alameda County Juvenile Hall/Court,Alameda County Office of Education,Alameda,,,Y,Long-Term English Learner,,,,,,,,0,,4,,,,,,,,,0,,4,,,0,0,0,https://i.imgur.com/hWgtiPF.png,0,N,N,,ELPI,2024
1100170130419,S,Alameda County Community,Alameda County Office of Education,Alameda,,,Y,English Learner,5,0,15,6,0,0,0,6,5,32,15.6,9,0,11,3,0,0,0,1,9,24,37.5,-21.9,1,1,0,https://i.imgur.com/hWgtiPF.png,0,Y,N,,ELPI,2024
1100170130419,S,Alameda County Community,Alameda County Office of Education,Alameda,,,Y,Long-Term English Learner,5,0,7,5,0,0,0,0,5,17,29.4,8,0,5,3,0,0,0,0,8,16,50,-20.6,1,1,0,https://i.imgur.com/hWgtiPF.png,0,N,N,,ELPI,2024
1100170130625,S,Alternatives in Action,Alameda County Office of Education,Alameda,Y,,Y,English Learner,7,0,16,20,0,0,0,18,7,61,11.5,23,1,36,12,0,0,0,6,24,78,30.8,-19.3,1,1,1,https://i.imgur.com/0xqkwNU.png,210,Y,Y,Y,ELPI,2024
1100170130625,S,Alternatives in Action,Alameda County Office of Education,Alameda,Y,,Y,Long-Term English Learner,7,0,9,19,0,0,0,14,7,49,14.3,20,1,19,12,0,0,0,2,21,54,38.9,-24.6,1,1,1,https://i.imgur.com/0xqkwNU.png,210,Y,Y,Y,ELPI,2024
1100170131581,S,Oakland Unity Middle,Alameda County Office of Education,Alameda,Y,,,English Learner,13,1,9,10,0,0,0,8,14,41,34.1,7,0,10,9,0,0,0,16,7,42,16.7,17.5,1,5,3,https://i.imgur.com/rZPpjuJ.png,250,Y,Y,Y,ELPI,2024
1100170131581,S,Oakland Unity Middle,Alameda County Office of Education,Alameda,Y,,,Long-Term English Learner,9,0,3,2,0,0,0,0,9,14,64.3,4,0,6,6,0,0,0,0,4,16,25,39.3,4,5,0,https://i.imgur.com/hWgtiPF.png,0,N,N,,ELPI,2024
1100170136101,S,Connecting Waters Charter - East Bay,Alameda County Office of Education,Alameda,Y,,,English Learner,10,0,4,5,0,0,0,0,10,19,52.6,6,0,4,3,0,0,1,0,6,14,42.9,9.8,3,4,0,https://i.imgur.com/hWgtiPF.png,0,N,N,,ELPI,2024
1100170136101,S,Connecting Waters Charter - East Bay,Alameda County Office of Education,Alameda,Y,,,Long-Term English Learner,,,,,,,,0,,9,,,,,,,,,0,,9,,,0,0,0,https://i.imgur.com/hWgtiPF.png,0,N,N,,ELPI,2024
1100170136226,S,Opportunity Academy,Alameda County Office of Education,Alameda,Y,,Y,English Learner,3,0,4,4,0,0,0,7,3,18,16.7,,,,,,,,0,,6,,,1,0,0,https://i.imgur.com/hWgtiPF.png,0,N,N,,ELPI,2024
1100170136226,S,Opportunity Academy,Alameda County Office of Education,Alameda,Y,,Y,Long-Term English Learner,3,0,2,3,0,0,0,5,3,13,23.1,,,,,,,,0,,3,,,1,0,0,https://i.imgur.com/hWgtiPF.png,0,N,N,,ELPI,2024
1100170137448,S,Aurum Preparatory Academy,Alameda County Office of Education,Alameda,Y,,,English Learner,7,0,14,10,0,0,0,0,7,31,22.6,8,4,14,10,0,0,0,0,12,36,33.3,-10.8,1,1,1,https://i.imgur.com/0xqkwNU.png,210,Y,Y,Y,ELPI,2024
1100170137448,S,Aurum Preparatory Academy,Alameda County Office of Education,Alameda,Y,,,Long-Term English Learner,4,0,5,7,0,0,0,0,4,16,25,5,4,8,8,0,0,0,0,9,25,36,-11,1,1,0,https://i.imgur.com/hWgtiPF.png,0,N,N,,ELPI,2024
1100170138867,S,Hayward Collegiate Charter,Alameda County Office of Education,Alameda,Y,,,English Learner,17,2,14,8,0,0,0,0,19,41,46.3,13,5,5,6,0,0,0,0,18,29,62.1,-15.7,3,1,0,https://i.imgur.com/hWgtiPF.png,0,Y,N,,ELPI,2024
1100176001788,S,Cox Academy,Alameda County Office of Education,Alameda,Y,,,English Learner,63,1,73,28,0,0,0,0,64,165,38.8,79,1,73,37,0,0,0,0,80,190,42.1,-3.3,2,2,2,https://i.imgur.com/AynDLG5.png,170,Y,Y,Y,ELPI,2024
1100176002000,S,Lazear Charter Academy,Alameda County Office of Education,Alameda,Y,,,English Learner,68,2,51,34,0,0,0,0,70,155,45.2,100,4,35,25,0,0,0,0,104,164,63.4,-18.3,3,1,2,https://i.imgur.com/AynDLG5.png,110,Y,Y,Y,ELPI,2024
1100176002000,S,Lazear Charter Academy,Alameda County Office of Education,Alameda,Y,,,Long-Term English Learner,11,1,7,7,0,0,0,0,12,26,46.2,21,1,8,2,0,0,0,0,22,32,68.8,-22.6,3,1,0,https://i.imgur.com/hWgtiPF.png,0,N,Y,,ELPI,2024
1316090131755,S,California School for the Blind,California School for the Blind (State Special Schl),Alameda,,,,English Learner,,,,,,,,0,,6,,,,,,,,,0,,5,,,0,0,0,https://i.imgur.com/hWgtiPF.png,0,N,N,,ELPI,2024
1316090131755,S,California School for the Blind,California School for the Blind (State Special Schl),Alameda,,,,Long-Term English Learner,,,,,,,,0,,4,,,,,,,,,0,,1,,,0,0,0,https://i.imgur.com/hWgtiPF.png,0,N,N,,ELPI,2024
1611190000000,D,,Alameda Unified,Alameda,,,,English Learner,254,2,155,64,2,0,6,0,258,483,53.4,274,12,153,62,2,5,7,0,293,515,56.9,-3.5,3,2,2,https://i.imgur.com/AynDLG5.png,120,Y,Y,Y,ELPI,2024
1611190000000,D,,Alameda Unified,Alameda,,,,Long-Term English Learner,37,1,27,31,1,0,3,8,39,108,36.1,60,4,41,14,2,3,2,12,69,138,50,-13.9,2,1,1,https://i.imgur.com/0xqkwNU.png,160,Y,Y,Y,ELPI,2024
1611190106401,S,Alameda Science and Technology Institute,Alameda Unified,Alameda,,,,English Learner,,,,,,,,0,,2,,,,,,,,,0,,2,,,0,0,0,https://i.imgur.com/hWgtiPF.png,0,N,N,,ELPI,2024
1611190106401,S,Alameda Science and Technology Institute,Alameda Unified,Alameda,,,,Long-Term English Learner,,,,,,,,0,,2,,,,,,,,,0,,2,,,0,0,0,https://i.imgur.com/hWgtiPF.png,0,N,N,,ELPI,2024
1611190111765,S,Ruby Bridges Elementary,Alameda Unified,Alameda,,,,English Learner,30,0,13,5,0,0,2,0,30,50,60,36,0,16,5,0,1,2,0,37,60,61.7,-1.7,4,3,4,https://i.imgur.com/ddAH9me.png,80,Y,Y,Y,ELPI,2024
1611190119222,S,Nea Community Learning Center,Alameda Unified,Alameda,Y,,,English Learner,14,5,21,16,0,0,0,0,19,56,33.9,21,8,12,19,0,0,0,0,29,60,48.3,-14.4,1,1,1,https://i.imgur.com/0xqkwNU.png,210,Y,Y,Y,ELPI,2024
1611190119222,S,Nea Community Learning Center,Alameda Unified,Alameda,Y,,,Long-Term English Learner,1,1,9,6,0,0,0,0,2,17,11.8,6,2,4,10,0,0,0,0,8,22,36.4,-24.6,1,1,0,https://i.imgur.com/hWgtiPF.png,0,N,N,,ELPI,2024
1611190122085,S,The Academy of Alameda,Alameda Unified,Alameda,Y,,,English Learner,25,0,23,14,0,0,0,0,25,62,40.3,29,0,20,9,0,0,0,0,29,58,50,-9.7,2,2,2,https://i.imgur.com/AynDLG5.png,170,Y,Y,Y,ELPI,2024
1611190122085,S,The Academy of Alameda,Alameda Unified,Alameda,Y,,,Long-Term English Learner,13,0,3,2,0,0,0,0,13,18,72.2,10,0,5,3,0,0,0,0,10,18,55.6,16.7,5,5,0,https://i.imgur.com/hWgtiPF.png,0,N,N,,ELPI,2024
1611190130229,S,Alameda High,Alameda Unified,Alameda,,,,English Learner,29,0,28,10,1,0,4,0,30,72,41.7,38,2,23,4,1,1,3,0,42,72,58.3,-16.7,2,1,1,https://i.imgur.com/0xqkwNU.png,160,Y,Y,Y,ELPI,2024
1611190130229,S,Alameda High,Alameda Unified,Alameda,,,,Long-Term English Learner,3,0,6,7,1,0,4,0,4,21,19,15,2,7,0,1,1,3,1,19,30,63.3,-44.3,1,1,0,https://i.imgur.com/hWgtiPF.png,0,N,Y,,ELPI,2024
1611190130609,S,Alameda Community Learning Center,Alameda Unified,Alameda,Y,,,English Learner,14,4,12,23,0,0,0,0,18,53,34,11,5,11,15,0,0,0,0,16,42,38.1,-4.1,1,2,1,https://i.imgur.com/0xqkwNU.png,220,Y,Y,Y,ELPI,2024
1611190130609,S,Alameda Community Learning Center,Alameda Unified,Alameda,Y,,,Long-Term English Learner,12,3,7,18,0,0,0,0,15,40,37.5,8,5,6,12,0,0,0,1,13,32,40.6,-3.1,2,2,2,https://i.imgur.com/AynDLG5.png,170,Y,Y,Y,ELPI,2024
1611190132142,S,Encinal Junior/Senior High,Alameda Unified,Alameda,,,,English Learner,22,0,20,21,0,0,0,0,22,63,34.9,41,2,21,6,0,0,0,1,43,71,60.6,-25.6,1,1,1,https://i.imgur.com/0xqkwNU.png,210,Y,Y,Y,ELPI,2024
1611190132142,S,Encinal Junior/Senior High,Alameda Unified,Alameda,,,,Long-Term English Learner,11,0,15,19,0,0,0,1,11,46,23.9,24,0,19,2,0,0,0,2,24,47,51.1,-27.2,1,1,1,https://i.imgur.com/0xqkwNU.png,210,Y,Y,Y,ELPI,2024
1611190134304,S,Island High (Continuation),Alameda Unified,Alameda,,,Y,English Learner,,,,,,,,0,,4,,,,,,,,,0,,10,,,0,0,0,https://i.imgur.com/hWgtiPF.png,0,N,N,,ELPI,2024
1611190134304,S,Island High (Continuation),Alameda Unified,Alameda,,,Y,Long-Term English Learner,,,,,,,,0,,4,,,,,,,,,0,,6,,,0,0,0,https://i.imgur.com/hWgtiPF.png,0,N,N,,ELPI,2024
1611190139220,S,Maya Lin,Alameda Unified,Alameda,,,,English Learner,16,0,11,1,0,0,0,0,16,28,57.1,14,0,12,6,0,1,1,0,15,34,44.1,13,4,5,0,https://i.imgur.com/hWgtiPF.png,0,N,Y,,ELPI,2024
1611196090013,S,Edison Elementary,Alameda Unified,Alameda,,,,English Learner,12,0,9,3,0,0,0,0,12,24,50,14,0,3,1,0,0,0,0,14,18,77.8,-27.8,3,1,0,https://i.imgur.com/hWgtiPF.png,0,N,N,,ELPI,2024
1611196090021,S,Frank Otis Elementary,Alameda Unified,Alameda,,,,English Learner,13,0,7,3,0,0,0,0,13,23,56.5,20,0,8,3,0,0,0,0,20,31,64.5,-8,4,2,0,https://i.imgur.com/hWgtiPF.png,0,N,Y,,ELPI,2024
1611196090039,S,Franklin Elementary,Alameda Unified,Alameda,,,,English Learner,9,0,9,2,0,0,0,0,9,20,45,9,0,6,2,0,0,0,0,9,17,52.9,-7.9,3,2,0,https://i.imgur.com/hWgtiPF.png,0,N,N,,ELPI,2024
1611196090047,S,Love Elementary,Alameda Unified,Alameda,,,,English Learner,32,0,18,9,0,0,0,0,32,59,54.2,37,0,17,8,0,0,0,0,37,62,59.7,-5.4,3,2,2,https://i.imgur.com/AynDLG5.png,120,Y,Y,Y,ELPI,2024
1611196090054,S,Lincoln Middle,Alameda Unified,Alameda,,,,English Learner,14,1,2,1,0,0,1,0,15,19,78.9,9,4,7,1,0,2,0,0,15,23,65.2,13.7,5,5,0,https://i.imgur.com/hWgtiPF.png,0,N,N,,ELPI,2024
1611196090054,S,Lincoln Middle,Alameda Unified,Alameda,,,,Long-Term English Learner,,,,,,,,0,,9,,3,2,3,1,0,2,0,0,7,11,63.6,,0,0,0,https://i.imgur.com/hWgtiPF.png,0,N,N,,ELPI,2024
1611196090112,S,Will C. Wood Middle,Alameda Unified,Alameda,,,,English Learner,31,1,20,1,0,0,0,0,32,53,60.4,22,2,20,6,1,0,0,0,25,51,49,11.4,4,5,5,https://i.imgur.com/3zBSYLM.png,100,Y,Y,Y,ELPI,2024
1611196090112,S,Will C. Wood Middle,Alameda Unified,Alameda,,,,Long-Term English Learner,11,0,4,1,0,0,0,0,11,16,68.8,13,0,9,6,1,0,0,1,14,30,46.7,22.1,5,5,0,https://i.imgur.com/hWgtiPF.png,0,N,Y,,ELPI,2024
1611196090120,S,William G. Paden Elementary,Alameda Unified,Alameda,,,,English Learner,16,0,7,0,0,0,0,3,16,26,61.5,9,2,10,9,0,0,0,0,11,30,36.7,24.9,4,5,0,https://i.imgur.com/hWgtiPF.png,0,N,Y,,ELPI,2024
1611196100374,S,Amelia Earhart Elementary,Alameda Unified,Alameda,,,,English Learner,16,0,3,3,1,0,0,0,17,23,73.9,11,0,3,2,0,0,2,0,11,18,61.1,12.8,5,5,0,https://i.imgur.com/hWgtiPF.png,0,N,N,,ELPI,2024
1611196110779,S,Bay Farm,Alameda Unified,Alameda,,,,English Learner,9,0,8,4,0,0,0,0,9,21,42.9,11,0,6,1,0,0,0,0,11,18,61.1,-18.3,2,1,0,https://i.imgur.com/hWgtiPF.png,0,N,N,,ELPI,2024
1611196110779,S,Bay Farm,Alameda Unified,Alameda,,,,Long-Term English Learner,,,,,,,,0,,4,,,,,,,,,0,,3,,,0,0,0,https://i.imgur.com/hWgtiPF.png,0,N,N,,ELPI,2024
1611270000000,D,,Albany City Unified,Alameda,,,,English Learner,151,29,59,25,0,0,0,0,180,264,68.2,105,37,65,30,0,0,0,0,142,237,59.9,8.3,5,4,5,https://i.imgur.com/3zBSYLM.png,40,Y,Y,Y,ELPI,2024
1611270000000,D,,Albany City Unified,Alameda,,,,Long-Term English Learner,10,8,5,3,0,0,0,3,18,29,62.1,15,10,6,4,0,0,0,9,25,44,56.8,5.3,4,4,4,https://i.imgur.com/ddAH9me.png,90,Y,Y,Y,ELPI,2024
1611270130294,S,MacGregor High (Continuation),Albany City Unified,Alameda,,,Y,English Learner,,,,,,,,0,,0,,,,,,,,,0,,1,,,0,0,,,0,N,N,,ELPI,2024
1611270130294,S,MacGregor High (Continuation),Albany City Unified,Alameda,,,Y,Long-Term English Learner,,,,,,,,0,,0,,,,,,,,,0,,0,,,0,0,,,0,N,N,,ELPI,2024
1611270130450,S,Albany High,Albany City Unified,Alameda,,,,English Learner,29,5,8,5,0,0,0,1,34,48,70.8,16,4,20,7,0,0,0,7,20,54,37,33.8,5,5,5,https://i.imgur.com/3zBSYLM.png,50,Y,Y,Y,ELPI,2024
1611270130450,S,Albany High,Albany City Unified,Alameda,,,,Long-Term English Learner,7,3,3,3,0,0,0,0,10,16,62.5,10,4,4,4,0,0,0,7,14,29,48.3,14.2,4,5,0,https://i.imgur.com/hWgtiPF.png,0,N,N,,ELPI,2024
1611276090146,S,Cornell Elementary,Albany City Unified,Alameda,,,,English Learner,33,4,17,7,0,0,0,0,37,61,60.7,19,6,18,5,0,0,0,0,25,48,52.1,8.6,4,4,4,https://i.imgur.com/ddAH9me.png,90,Y,Y,Y,ELPI,2024
1611276090161,S,Albany Middle,Albany City Unified,Alameda,,,,English Learner,15,19,9,3,0,0,0,0,34,46,73.9,17,16,4,0,0,0,0,0,33,37,89.2,-15.3,5,1,3,https://i.imgur.com/rZPpjuJ.png,10,Y,Y,Y,ELPI,2024
1611276090161,S,Albany Middle,Albany City Unified,Alameda,,,,Long-Term English Learner,,,,,,,,0,,10,,5,6,2,0,0,0,0,0,11,13,84.6,,0,0,0,https://i.imgur.com/hWgtiPF.png,0,N,N,,ELPI,2024
1611276095376,S,Marin Elementary,Albany City Unified,Alameda,,,,English Learner,19,1,13,5,0,0,0,0,20,38,52.6,16,6,3,4,0,0,0,0,22,29,75.9,-23.2,3,1,0,https://i.imgur.com/hWgtiPF.png,0,Y,N,,ELPI,2024
1611276116222,S,Ocean View Elementary,Albany City Unified,Alameda,,,,English Learner,55,0,12,5,0,0,0,0,55,72,76.4,37,5,20,13,0,0,0,0,42,75,56,20.4,5,5,5,https://i.imgur.com/3zBSYLM.png,50,Y,Y,Y,ELPI,2024
1611430000000,D,,Berkeley Unified,Alameda,,,,English Learner,186,27,122,40,2,0,1,0,215,378,56.9,173,22,113,64,0,2,3,1,197,378,52.1,4.8,4,4,4,https://i.imgur.com/ddAH9me.png,90,Y,Y,Y,ELPI,2024
1611430000000,D,,Berkeley Unified,Alameda,,,,Long-Term English Learner,42,5,26,15,1,0,0,3,48,92,52.2,32,7,26,29,0,2,0,11,41,107,38.3,13.9,3,5,4,https://i.imgur.com/ddAH9me.png,150,Y,Y,Y,ELPI,2024
1611430131177,S,Berkeley High,Berkeley Unified,Alameda,,,,English Learner,45,4,33,13,0,0,0,2,49,97,50.5,33,0,31,25,0,0,0,8,33,97,34,16.5,3,5,4,https://i.imgur.com/ddAH9me.png,150,Y,Y,Y,ELPI,2024
1611430131177,S,Berkeley High,Berkeley Unified,Alameda,,,,Long-Term English Learner,16,4,13,12,0,0,0,4,20,49,40.8,17,0,11,21,0,0,0,8,17,57,29.8,11,2,5,3,https://i.imgur.com/rZPpjuJ.png,200,Y,Y,Y,ELPI,2024
1611430134924,S,Berkeley Technology Academy,Berkeley Unified,Alameda,,,Y,English Learner,,,,,,,,0,,1,,,,,,,,,0,,0,,,0,0,0,https://i.imgur.com/hWgtiPF.png,0,N,N,,ELPI,2024
1611430134924,S,Berkeley Technology Academy,Berkeley Unified,Alameda,,,Y,Long-Term English Learner,,,,,,,,0,,1,,,,,,,,,0,,0,,,0,0,0,https://i.imgur.com/hWgtiPF.png,0,N,N,,ELPI,2024
1611430141655,S,Berkeley Independent Study K-8,Berkeley Unified,Alameda,,,,English Learner,,,,,,,,0,,0,,,,,,,,,0,,0,,,0,0,,,0,N,N,,ELPI,2024
1611430141655,S,Berkeley Independent Study K-8,Berkeley Unified,Alameda,,,,Long-Term English Learner,,,,,,,,0,,0,,,,,,,,,0,,0,,,0,0,,,0,N,N,,ELPI,2024
1611436056857,S,Martin Luther King Middle,Berkeley Unified,Alameda,,,,English Learner,26,2,12,2,0,0,0,0,28,42,66.7,10,1,18,8,0,0,0,0,11,37,29.7,36.9,5,5,5,https://i.imgur.com/3zBSYLM.png,50,Y,Y,Y,ELPI,2024
1611436056857,S,Martin Luther King Middle,Berkeley Unified,Alameda,,,,Long-Term English Learner,13,0,2,1,0,0,0,0,13,16,81.3,2,1,6,4,0,0,0,0,3,13,23.1,58.2,5,5,0,https://i.imgur.com/hWgtiPF.png,0,N,N,,ELPI,2024
1611436056865,S,Willard Middle,Berkeley Unified,Alameda,,,,English Learner,3,0,9,2,1,0,0,0,4,15,26.7,5,1,6,4,0,0,1,0,6,17,35.3,-8.6,1,2,0,https://i.imgur.com/hWgtiPF.png,0,N,N,,ELPI,2024
1611436056865,S,Willard Middle,Berkeley Unified,Alameda,,,,Long-Term English Learner,2,0,7,2,1,0,0,0,3,12,25,,,,,,,,0,,7,,,1,0,0,https://i.imgur.com/hWgtiPF.png,0,N,N,,ELPI,2024
1611436090187,S,Rosa Parks Environmental Science,Berkeley Unified,Alameda,,,,English Learner,10,1,0,0,0,0,0,0,11,11,100,8,2,6,1,0,0,0,0,10,17,58.8,41.2,5,5,0,https://i.imgur.com/hWgtiPF.png,0,N,N,,ELPI,2024
1611436090195,S,Cragmont Elementary,Berkeley Unified,Alameda,,,,English Learner,5,1,4,1,1,0,0,0,7,12,58.3,4,2,4,4,0,0,0,0,6,14,42.9,15.5,4,5,0,https://i.imgur.com/hWgtiPF.png,0,N,N,,ELPI,2024
1611436090211,S,Emerson Elementary,Berkeley Unified,Alameda,,,,English Learner,,,,,,,,0,,10,,7,0,3,1,0,0,0,0,7,11,63.6,,0,0,0,https://i.imgur.com/hWgtiPF.png,0,N,N,,ELPI,2024
1611436090211,S,Emerson Elementary,Berkeley Unified,Alameda,,,,Long-Term English Learner,,,,,,,,0,,1,,,,,,,,,0,,0,,,0,0,0,https://i.imgur.com/hWgtiPF.png,0,N,N,,ELPI,2024
1611436090252,S,Ruth Acty Elementary,Berkeley Unified,Alameda,,,,English Learner,2,9,4,1,0,0,0,0,11,16,68.8,7,5,1,0,0,0,0,0,12,13,92.3,-23.6,5,1,0,https://i.imgur.com/hWgtiPF.png,0,N,N,,ELPI,2024
1611436090278,S,Sylvia Mendez Elementary,Berkeley Unified,Alameda,,,,English Learner,17,0,19,12,0,0,1,0,17,49,34.7,23,0,11,7,0,0,1,0,23,42,54.8,-20.1,1,1,1,https://i.imgur.com/0xqkwNU.png,210,Y,Y,Y,ELPI,2024
1611436090286,S,Malcolm X Elementary,Berkeley Unified,Alameda,,,,English Learner,14,1,6,5,0,0,0,0,15,26,57.7,10,1,6,3,0,0,0,0,11,20,55,2.7,4,4,0,https://i.imgur.com/hWgtiPF.png,0,N,N,,ELPI,2024
1611436090286,S,Malcolm X Elementary,Berkeley Unified,Alameda,,,,Long-Term English Learner,,,,,,,,0,,1,,,,,,,,,0,,0,,,0,0,0,https://i.imgur.com/hWgtiPF.png,0,N,N,,ELPI,2024
1611436090294,S,Longfellow Arts and Technology Middle,Berkeley Unified,Alameda,,,,English Learner,15,1,2,0,0,0,0,0,16,18,88.9,15,6,8,5,0,2,0,0,23,36,63.9,25,5,5,0,https://i.imgur.com/hWgtiPF.png,0,N,Y,,ELPI,2024
1611436090294,S,Longfellow Arts and Technology Middle,Berkeley Unified,Alameda,,,,Long-Term English Learner,10,1,2,0,0,0,0,0,11,13,84.6,12,5,6,3,0,2,0,0,19,28,67.9,16.8,5,5,0,https://i.imgur.com/hWgtiPF.png,0,N,N,,ELPI,2024
1611436090302,S,Oxford Elementary at West Campus,Berkeley Unified,Alameda,,,,English Learner,3,1,8,3,0,0,0,0,4,15,26.7,9,0,3,0,0,0,0,0,9,12,75,-48.3,1,1,0,https://i.imgur.com/hWgtiPF.png,0,N,N,,ELPI,2024
1611436090310,S,Thousand Oaks Elementary,Berkeley Unified,Alameda,,,,English Learner,13,3,7,1,0,0,0,0,16,24,66.7,23,2,6,1,0,0,0,0,25,32,78.1,-11.5,5,1,0,https://i.imgur.com/hWgtiPF.png,0,N,Y,,ELPI,2024
1611436090328,S,Washington Elementary,Berkeley Unified,Alameda,,,,English Learner,8,2,8,0,0,0,0,0,10,18,55.6,10,1,8,2,0,0,1,0,11,22,50,5.6,4,4,0,https://i.imgur.com/hWgtiPF.png,0,N,N,,ELPI,2024
1611436097729,S,Berkeley Arts Magnet at Whittier,Berkeley Unified,Alameda,,,,English Learner,8,2,4,0,0,0,0,0,10,14,71.4,6,1,2,3,0,0,0,0,7,12,58.3,13.1,5,5,0,https://i.imgur.com/hWgtiPF.png,0,N,N,,ELPI,2024
1611436105316,S,John Muir Elementary,Berkeley Unified,Alameda,,,,English Learner,11,0,1,1,0,0,0,0,11,13,84.6,,,,,,,,0,,6,,,5,0,0,https://i.imgur.com/hWgtiPF.png,0,N,N,,ELPI,2024
1611500000000,D,,Castro Valley Unified,Alameda,,,,English Learner,299,19,231,136,1,0,1,0,319,687,46.4,350,33,197,109,0,1,0,0,384,690,55.7,-9.2,3,2,2,https://i.imgur.com/AynDLG5.png,120,Y,Y,Y,ELPI,2024
1611500000000,D,,Castro Valley Unified,Alameda,,,,Long-Term English Learner,57,9,43,46,1,0,0,0,67,156,42.9,67,7,31,37,0,0,0,0,74,142,52.1,-9.2,2,2,2,https://i.imgur.com/AynDLG5.png,170,Y,Y,Y,ELPI,2024
1611500132225,S,Castro Valley High,Castro Valley Unified,Alameda,,,,English Learner,41,4,39,42,0,0,0,0,45,126,35.7,52,6,33,19,0,0,0,2,58,112,51.8,-16.1,2,1,1,https://i.imgur.com/0xqkwNU.png,160,Y,Y,Y,ELPI,2024
